"WHO region","Year","Number of deaths due to HIV/AIDS"
"Eastern Mediterranean"," 2020","17 000 [14 000-24 000]"
"Eastern Mediterranean"," 2019","16 000 [13 000-23 000]"
"Eastern Mediterranean"," 2018","16 000 [13 000-23 000]"
"Eastern Mediterranean"," 2017","16 000 [13 000-23 000]"
"Eastern Mediterranean"," 2016","16 000 [13 000-23 000]"
"Eastern Mediterranean"," 2015","15 000 [13 000-22 000]"
"Eastern Mediterranean"," 2014","15 000 [12 000-21 000]"
"Eastern Mediterranean"," 2013","14 000 [12 000-20 000]"
"Eastern Mediterranean"," 2012","13 000 [11 000-19 000]"
"Eastern Mediterranean"," 2011","12 000 [10 000-17 000]"
"Eastern Mediterranean"," 2010","11 000 [9100-16 000]"
"Eastern Mediterranean"," 2009","10 000 [8500-15 000]"
"Eastern Mediterranean"," 2008","10 000 [8200-14 000]"
"Eastern Mediterranean"," 2007","9300 [7600-13 000]"
"Eastern Mediterranean"," 2006","8400 [6900-12 000]"
"Eastern Mediterranean"," 2005","7500 [6100-11 000]"
"Eastern Mediterranean"," 2004","6700 [5400-9500]"
"Eastern Mediterranean"," 2003","6000 [4900-8500]"
"Eastern Mediterranean"," 2002","5300 [4300-7400]"
"Eastern Mediterranean"," 2001","4500 [3700-6400]"
"Eastern Mediterranean"," 2000","3900 [3100-5400]"
"Eastern Mediterranean"," 1999","3200 [2600-4500]"
"Eastern Mediterranean"," 1998","2600 [2100-3700]"
"Eastern Mediterranean"," 1997","2100 [1700-3000]"
"Eastern Mediterranean"," 1996","1700 [1300-2400]"
"Eastern Mediterranean"," 1995","1300 [1100-1800]"
"Eastern Mediterranean"," 1994","1000 [820-1400]"
"Eastern Mediterranean"," 1993","780 [630-1100]"
"Eastern Mediterranean"," 1992","610 [&lt;500-860]"
"Eastern Mediterranean"," 1991","&lt;500 [&lt;500-670]"
"Eastern Mediterranean"," 1990","&lt;500 [&lt;500-520]"
"Western Pacific"," 2020","41 000 [24 000-63 000]"
"Western Pacific"," 2019","40 000 [24 000-62 000]"
"Western Pacific"," 2018","40 000 [24 000-62 000]"
"Western Pacific"," 2017","42 000 [25 000-65 000]"
"Western Pacific"," 2016","45 000 [27 000-69 000]"
"Western Pacific"," 2015","49 000 [29 000-76 000]"
"Western Pacific"," 2014","54 000 [32 000-82 000]"
"Western Pacific"," 2013","58 000 [34 000-89 000]"
"Western Pacific"," 2012","62 000 [36 000-95 000]"
"Western Pacific"," 2011","65 000 [39 000-100 000]"
"Western Pacific"," 2010","66 000 [39 000-100 000]"
"Western Pacific"," 2009","67 000 [40 000-100 000]"
"Western Pacific"," 2008","69 000 [40 000-110 000]"
"Western Pacific"," 2007","69 000 [40 000-110 000]"
"Western Pacific"," 2006","68 000 [40 000-100 000]"
"Western Pacific"," 2005","66 000 [39 000-100 000]"
"Western Pacific"," 2004","61 000 [36 000-95 000]"
"Western Pacific"," 2003","56 000 [33 000-87 000]"
"Western Pacific"," 2002","51 000 [30 000-78 000]"
"Western Pacific"," 2001","44 000 [26 000-68 000]"
"Western Pacific"," 2000","38 000 [22 000-58 000]"
"Western Pacific"," 1999","31 000 [18 000-48 000]"
"Western Pacific"," 1998","25 000 [15 000-39 000]"
"Western Pacific"," 1997","20 000 [12 000-31 000]"
"Western Pacific"," 1996","16 000 [9300-24 000]"
"Western Pacific"," 1995","12 000 [6900-18 000]"
"Western Pacific"," 1994","7900 [4700-12 000]"
"Western Pacific"," 1993","6100 [3600-9400]"
"Western Pacific"," 1992","4700 [2800-7300]"
"Western Pacific"," 1991","3600 [2100-5600]"
"Western Pacific"," 1990","2700 [1600-4200]"
